state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
48,201,0055,44201,1,29.695729,-95.499219,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6140,98.0,Y,358,365,0,0,34,34,Certified,0.039777,0.020345,0.123,2002-09-13 11:00,0.108,2002-06-18 10:00,0.097,2002-06-15 11:00,0.094,2002-09-12 10:00,,,,,0.094,0.088,0.082,0.07,0.049,0.036,0.019,Houston Bayland Park,6400 Bissonnet Street,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0062,44201,1,29.625556,-95.267222,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6161,99.0,Y,362,365,0,0,18,18,Uncertified (past due),0.03426,0.018079,0.121,2002-09-13 10:00,0.118,2002-06-15 09:00,0.109,2002-09-12 09:00,0.095,2002-08-28 10:00,,,,,0.095,0.083,0.07,0.06,0.041,0.03,0.017,Houston Monroe,9726 1/2 Monroe,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0066,44201,1,29.723333,-95.635833,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6005,96.0,Y,350,365,0,0,15,15,Uncertified (past due),0.034414,0.017227,0.099,2002-06-18 11:00,0.09,2002-04-10 11:00,0.085,2002-06-07 09:00,0.084,2002-09-13 10:00,,,,,0.084,0.078,0.068,0.061,0.043,0.031,0.016,Houston Westhollow,3333 1/2 Hwy 6 South,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0070,44201,1,29.735129,-95.315583,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6102,97.0,Y,355,365,0,0,17,17,Certified,0.034223,0.018843,0.144,2002-09-13 10:00,0.095,2002-06-15 10:00,0.09,2002-09-14 10:00,0.088,2002-06-18 09:00,,,,,0.088,0.078,0.07,0.062,0.042,0.03,0.014,HOUSTON REGIONAL OFFICE,"5425 POLK AVE., SUITE H",Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,1034,44201,2,29.767997,-95.220582,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6189,99.0,Y,363,365,0,0,16,16,Certified,0.033879,0.018969,0.103,2002-09-28 10:00,0.102,2002-09-13 10:00,0.096,2002-08-02 12:00,0.093,2002-09-14 10:00,,,,,0.093,0.08,0.069,0.061,0.046,0.031,0.013,Houston East,1262 1/2 Mae Drive,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,1035,44201,3,29.733726,-95.257593,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6140,98.0,Y,356,365,0,0,20,20,Uncertified (past due),0.033809,0.01866,0.122,2002-09-13 10:00,0.093,2002-06-15 11:00,0.093,2002-09-12 10:00,0.092,2002-06-18 09:00,,,,,0.092,0.078,0.072,0.06,0.043,0.03,0.015,Clinton,9525 1/2 Clinton Dr,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,1039,44201,1,29.670025,-95.128508,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6172,99.0,Y,360,365,0,0,25,25,Certified,0.039275,0.018622,0.118,2002-09-13 09:00,0.114,2002-06-15 11:00,0.096,2002-09-14 10:00,0.095,2002-09-12 09:00,,,,,0.095,0.086,0.077,0.065,0.048,0.036,0.02,Houston Deer Park #2,4514 1/2 Durant Street,Texas,Harris,Deer Park,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,1041,44201,1,29.751667,-95.083611,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,2567,41.0,N,149,365,0,0,6,6,Certified,0.035893,0.019925,0.121,2002-09-14 11:00,0.106,2002-08-02 12:00,0.094,2002-09-12 09:00,0.09,2002-09-13 09:00,,,,,0.106,0.094,0.07,0.064,0.044,0.03,0.017,EAST OF BATTLEGROUND RD. & MARKER DR. INTERSECTION,3824 1/2 BATTLEGROUND,Texas,Harris,La Porte,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,1050,44201,1,29.583047,-95.015544,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6121,98.0,Y,357,365,0,0,11,11,Certified,0.035403,0.015799,0.109,2002-09-14 10:00,0.099,2002-07-06 10:00,0.097,2002-08-06 11:00,0.094,2002-09-27 09:00,,,,,0.094,0.074,0.066,0.057,0.043,0.032,0.019,Seabrook Friendship Park,4522 Park Rd,Texas,Harris,Seabrook,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,203,0002,44201,1,32.669001,-94.167468,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6161,99.0,Y,242,245,0,0,32,32,Certified,0.051715,0.017018,0.09,2002-09-14 10:00,0.088,2002-08-10 10:00,0.088,2002-08-29 10:00,0.088,2002-09-11 10:00,,,,,0.088,0.086,0.081,0.073,0.064,0.053,0.039,Karnack,Hwy 134 & Spur 449,Texas,Harrison,,32220,"Marshall, TX",2022-01-20
